Title,Created Date,smokeTests_certificate,sanity_sanityTests_certificate,regressionTests_certificate,useCaseTesting_certificate,endToEnd_systemTests_certificate,uatTest_certificate,databaseTests_certificate,serviceTesting_certificate,loadTests_certificate,stressTests_certificate,spikeTests_certificate,volumeTests_certificate,TipoDeEjecucionCertificate,automatedFunctionality_certificate,candidateToAutomate_certificate,loadTestsExecuted_certificate,loadingScript_certificate,loadTestingCandidate_certificate,executionEnvironment_certificate,Tipo de Incidente,Esfuerzo_certificate,unitTestingDevelopment_certificate,integrationTestingDevelopment_certificate,closedTests_certificate,critical_highBugs_certificate,opinion_certificate,EVC_CelulaCertificate,Enviroment
CERTI - Depósitos - ANDROMEDA: PANTALLA PARA ASIGNAR CHEQUERAS GRATIS A EMPRESAS,27/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,6,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/Andrómeda Depósitos,
CERTI - ACTIVATE 18 - ALPHA: Cambio a la pantalla de anexos adicionales en herramienta web,27/02/2023,F,F,F,F,T,F,T,F,F,F,F,F,Manual,F,T,F,F,F,QA,Evolutivo,17,T,T,T,F,Satisfactorio,Actívate 18/Alpha,
CERTI - CICLO DE CRÉDITO - FABRICANTES: Modificar Procedimiento Radiografía de Clientes,27/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Ciclo de Crédito/Cliente mas Originación,
CERTI - DEPÓSITOS-TRANSACCIONAL-SEGUROS - SEGUROS:  Mantenimiento de cupones electrónicos,27/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,6,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/Andrómeda Seguros,
CERTI - Canales Digitales: Migración a Empagua MQ,27/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,F,T,F,Satisfactorio,Canales - Medios de Pago - Mercadeo/Canales Digitales,
CERTI - Seguros :Homologación Beneficiarios en Siniestros,27/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,4,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/Andrómeda Seguros,
CERTI - SEGUROS - SEG. DEVELOPER,27/02/2023,T,T,T,T,T,T,T,T,T,T,T,T,Manual,T,T,T,T,T,QA,Express,1,T,T,T,T,,Depósito Transaccional y Seguros/Andrómeda Seguros,
CERTI - TRASACCIONAL - NEW CORE: Agregar causas al invertario de CC y EF,28/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/Req Client - New Core,
CERTI - TRANSACCIONAL - LA ACADEMIA: Envio de Reportería de CashBox y CashCar a través de un SFTP,28/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,3,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
CERTI - PTD - ETAPA 2.5 CANAL PERSONAS: Smoke test Pre-Prod ,28/02/2023,T,T,T,T,T,T,T,T,T,T,T,T,Manual,T,T,T,T,T,QA,Express,0,T,T,T,T,,"Canal Empresas/Etapa 2,5",
CERTI - ACTIVATE 18 - THE COLLECTORS: cobro recurrente,01/03/2023,T,T,F,T,T,T,T,T,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,28,T,T,T,F,Satisfactorio,Actívate 18/The Collectors,
CERTI - ACELERADORA DIGITAL - LEGIÓN DE HIERRO: CONFIGURAR LÍMITES TRANSACCIONALES DE LOS CANALES PERSONAS EN EL MAC,01/03/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,15,T,T,T,F,Satisfactorio,Aceleradora/Pasivas,
CERTI - DEPÓSITOS-TRANSACCIONAL-SEGUROS - ANDROMEDA: SOLICITUD DE EUROS PARA LAS AGENCIAS,01/03/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,7,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/Andrómeda Depósitos,
CERTI - EVOLUCIÓN INTERNA - GUERREROS Z:  Creación de pantalla en escritorio BAM ,01/03/2023,T,T,T,T,T,T,T,T,T,T,T,T,Manual,T,T,T,T,T,QA,Express,4,T,T,T,T,,Evolución Interna/Finanzas + Contabilidad,
CERTI- A18 - ALPHA: Agregar canal nuevo al catalogo del API PxR ,02/03/2023,F,F,T,F,T,F,T,T,F,F,F,F,Manual,F,T,F,F,F,QA,Iniciativa,5,T,T,T,F,Satisfactorio,Actívate 18/Alpha,
CERTI - ACTIVATE 18 - GENESIS:  Control de Cambios 2 -  Calculo de Variable.,02/03/2023,F,F,F,F,F,T,F,T,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,10,T,T,T,F,Satisfactorio,Actívate 18/Genesis,
